epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.232774360605917,0.9264512739690045,0.9284297308555802,0.24491389262394642,0.9283464566929134,0.9300297176687794
2,0.2290707143517282,0.9141055949566588,0.9169430293748908,0.2477257872191001,0.9102362204724409,0.9131286814432578
3,0.17870023402174784,0.9330181245074862,0.9354215460896207,0.20795811888739818,0.926771653543307,0.9288005681003684
4,0.19925588203018219,0.9401103230890465,0.9424533037155125,0.2169091060405641,0.9338582677165355,0.9352542789483751
5,0.13986778122771434,0.9529813501444707,0.9541073761605828,0.17972131240086292,0.9385826771653544,0.9402620679044531
6,0.14468049298505128,0.9506172839506173,0.9524147761360293,0.1641850026104394,0.9393700787401574,0.9407121728820764
7,0.13628504885395337,0.9529813501444707,0.9538730602329613,0.15534777120342405,0.9448818897637795,0.9459303970600518
8,0.12757445722896657,0.959022852639874,0.9606678630322841,0.15105050145171758,0.947244094488189,0.9483926842650474
9,0.14391722859697828,0.9487785657998424,0.950839895865687,0.17410279742376072,0.9354330708661417,0.937891621144661
10,0.11027080759637024,0.959022852639874,0.9604933349597046,0.136792951118289,0.9480314960629921,0.9496033454343419
11,0.13706305622271675,0.9524560021013921,0.9537421047869848,0.16692815300986522,0.9409448818897638,0.941313846105238
12,0.12563631389048396,0.947465195692146,0.949854689052089,0.14720625257867528,0.9244094488188976,0.925887838587839
13,0.10935532321137238,0.9584975045967954,0.9600765801082869,0.13230045428426246,0.9448818897637795,0.9462323704980063
14,0.11292001990577447,0.9634883110060415,0.9649799368631422,0.14594784505723968,0.9496062992125984,0.950888277540906
15,0.09826301369010729,0.956133438402942,0.9583271551998955,0.14451212359694984,0.937007874015748,0.9390251334525155
16,0.08870274313273692,0.972681901759916,0.9738509953416405,0.11825832846596485,0.9590551181102362,0.9599300137258586
17,0.08955817934324305,0.9721565537168374,0.9731516535865371,0.12541569147522993,0.9590551181102362,0.9595739853995202
18,0.07412407548801148,0.9682164433937483,0.9696621046709673,0.12165257445001226,0.9551181102362205,0.9558086466834881
19,0.07417382047437512,0.973732597846073,0.9743096218417817,0.11640446430116187,0.9566929133858267,0.9567954206497093
20,0.07421601441668531,0.9747832939322301,0.9755309262481875,0.12038164507216356,0.9606299212598425,0.9609689832642466
21,0.08382516516221378,0.961124244812188,0.9630378476985741,0.1347486723126389,0.9464566929133859,0.9476469038441117
22,0.08984838805002648,0.9684791174152876,0.9694050242485492,0.13181788423868615,0.9551181102362205,0.9555563814788457
23,0.06626093276833374,0.9818754925137904,0.9823826405650399,0.11594300375679346,0.9669291338582677,0.9673892475704721
24,0.05416236014164336,0.9831888626214867,0.983580215260425,0.12765230292410362,0.9661417322834646,0.9660003108271529
25,0.0633207145243656,0.9881796690307328,0.9883752576651522,0.120103629602222,0.9763779527559056,0.9752691610410297
26,0.0618290404322143,0.9718938796952982,0.9731596917464053,0.12059857629415557,0.9551181102362205,0.9556319627993164
27,0.06200250864639538,0.9795114263199369,0.9804810366479277,0.11385964835722616,0.9614173228346456,0.9617805729770342
28,0.06194556718530725,0.9781980562122407,0.9792322451548486,0.10866466145815812,0.9614173228346456,0.962068130282416
29,0.062159937117782074,0.9729445757814552,0.9741413707075599,0.11016504797409839,0.9598425196850394,0.9606815665929738
30,0.05834058594396022,0.9760966640399265,0.9769865550197473,0.13881752817180212,0.9519685039370078,0.9525366630688517
