train_loss,train_acc,val_loss,val_acc,val_f1
0.7646299656480551,0.7066370589686651,0.5890611450780522,0.7823834196891192,0.7831699424147559
0.5555580528452992,0.7994078460399704,0.5027975968339227,0.8356772760917839,0.8370370523838515
0.5098648702260107,0.8243276585245497,0.47566249695691193,0.8371576609918578,0.8387300644345604
0.4703171793371439,0.8440661238588699,0.4189840372313153,0.8430792005921539,0.8443709799263317
0.42595162661746144,0.8603503577596842,0.3756334354931658,0.8608438193930422,0.8607916941077625
0.42301411810331047,0.8596101653096472,0.3593723377720876,0.8741672834937083,0.8747564424720791
0.38477150327526033,0.8689859363434493,0.3384898416697979,0.8778682457438934,0.8784382925287499
0.39320190832950175,0.8689859363434493,0.3413360945203088,0.8749074759437454,0.8755157568765188
0.37480849539861083,0.8709597828768814,0.3188251138410785,0.8852701702442635,0.8857724379830841
0.35673330747522414,0.8800888230940045,0.3189034309576858,0.8963730569948186,0.896337258451642
0.30661761888768524,0.8943992104613866,0.2683419131419875,0.9022945965951147,0.9025408366214946
0.2714612742420286,0.9055020972119417,0.2461761897429824,0.9096965210954848,0.9102570944044057
0.24959565314929932,0.9126572908956329,0.2380330151116306,0.9119170984455959,0.9124588789724477
0.2376771547133103,0.9094497902788058,0.22185985845598308,0.9185788304959289,0.9188535523486407
0.21837450750172138,0.921539600296077,0.22356336428360504,0.9185788304959289,0.9189097999523316
0.21322360495105386,0.9286947939797681,0.22079407626932318,0.9185788304959289,0.9190284678403714
0.20371080239419825,0.9262274858129781,0.20677745905281467,0.9185788304959289,0.9188630343622727
0.1925741615705192,0.9269676782630151,0.20073410745879466,0.9252405625462621,0.9255036798848147
0.19492674921639264,0.930421909696521,0.20864994121207434,0.923019985196151,0.9233080463685477
0.18827264034189284,0.9319022945965951,0.2077229935252531,0.921539600296077,0.9219569416104456
0.19267278007464483,0.9309153713298791,0.20058144963431088,0.9178386380458919,0.9182499517076355
0.1724440990947187,0.9353565260301011,0.19327564685690132,0.9222797927461139,0.9225842121507014
0.1731559687468689,0.9373303725635331,0.19580525363033469,0.924500370096225,0.9248637025465388
0.16412718052743003,0.9388107574636072,0.17973456940275023,0.924500370096225,0.9248892756034651
0.16601848060963675,0.9393042190969653,0.18553764279931784,0.927461139896373,0.9277669731532378
0.1719443901674822,0.9343696027633851,0.17680783300999214,0.9348630643967432,0.9350942563367777
0.1718325822148472,0.9402911423636813,0.1748812649695372,0.927461139896373,0.9277458009453886
0.16005912458058447,0.9358499876634592,0.18464904540980404,0.926720947446336,0.9271457273452025
0.1580766542465426,0.9422649888971133,0.18383219486779787,0.9296817172464841,0.9299503558169804
0.16286461130948737,0.9407846039970392,0.18027659617787736,0.9296817172464841,0.9299035469682254
