epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.7854511442849094,0.6283034953111679,0.595907478916471,0.7801350422222596,0.6470588235294118,0.6260571223207825
2,0.8111311483362853,0.5882352941176471,0.5690781135532726,0.815316145682274,0.5907928388746803,0.565938945972272
3,0.5975711241504217,0.7357203751065644,0.7410713789979508,0.5939374459369103,0.7340153452685422,0.7408343854981562
4,0.5505525007628013,0.7928388746803069,0.7874264029980909,0.5558980520424026,0.7928388746803069,0.7882662700575758
5,0.587851027037888,0.7289002557544757,0.7048408164817171,0.5884152749157927,0.7442455242966752,0.7182873807087189
6,0.5389482132512489,0.7919863597612958,0.7706263987092541,0.5430352810551139,0.7877237851662404,0.7688202826513328
7,0.6110042510943238,0.7144075021312873,0.6966494964724149,0.6766540330389271,0.7237851662404092,0.7046818158120749
8,0.5613342770021996,0.7698209718670077,0.7444080303066555,0.5709385917619672,0.7672634271099744,0.7433213945314657
9,0.46854966838239914,0.7860187553282183,0.7631668787464783,0.4875992931368406,0.7877237851662404,0.7621445111214776
10,0.4670220057576107,0.7953964194373402,0.7769203262246023,0.47821800208762477,0.7979539641943734,0.7808233728046832
