epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.90596478227256,0.5490196078431373,0.4781440328816832,0.8860860669704349,0.5601023017902813,0.47334382814551423
2,0.840097620105093,0.6786018755328218,0.6146445614388982,0.8360173095522634,0.6879795396419437,0.6194349771608506
3,0.8046358874081956,0.6308610400682012,0.5967724085315715,0.800518705107062,0.639386189258312,0.6125567231445841
4,0.7206393846160616,0.7612958226768969,0.7609514685696044,0.7119133121827069,0.7774936061381074,0.7755309102594513
5,0.7172826684039572,0.6436487638533674,0.636185350465708,0.7101006736535855,0.6342710997442456,0.6323931208329705
6,0.6774212680407701,0.7289002557544757,0.7155310321588303,0.672802418699045,0.7442455242966752,0.7295607917444554
7,0.6361710777774593,0.7468030690537084,0.732590318772137,0.6172911079643327,0.7621483375959079,0.7468137137880214
8,0.624353447330374,0.7468030690537084,0.7401556564321277,0.622112798111518,0.7570332480818415,0.7479935130930377
9,0.6091727467042609,0.7621483375959079,0.7312581548557822,0.610592738136916,0.7621483375959079,0.7309372961537539
10,0.589319961150284,0.7902813299232737,0.7862054008675636,0.5975231255411797,0.7877237851662404,0.782823449445847
