Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.015556663,-0.013011158,-0.013541043,0.039091166,-0.006463278,-0.023121282,watch,user3,sit
0.009999872,-0.016026586,-0.014084786,-0.007691503,0.040998835,0.002939190,-0.029250482,watch,user3,sit
0.020000000,-0.013824090,-0.009264678,-0.007481992,0.042158641,0.001771926,-0.027463235,watch,user3,sit
0.030001152,-0.011050552,-0.008125395,-0.004089117,0.046141930,0.011076212,-0.028632494,watch,user3,sit
0.040001024,-0.008827224,-0.009090543,-0.002241910,0.050825629,0.012603268,-0.031251982,watch,user3,sit
0.050001152,-0.009756178,-0.011853606,-0.001422644,0.024136450,0.011894157,-0.026953304,watch,user3,sit
0.060001024,-0.007724091,-0.017876148,0.000062823,0.000512082,0.005686063,-0.024693346,watch,user3,sit
0.070001920,-0.002581581,-0.021337479,0.004305422,-0.003304272,0.003550828,-0.017116321,watch,user3,sit
0.080002048,-0.002574831,-0.018904567,0.002595544,-0.003997493,0.008271813,-0.011740730,watch,user3,sit
0.090001920,-0.006343707,-0.017337799,0.001466274,-0.012239178,0.003342836,-0.009817661,watch,user3,sit
0.100002048,-0.007079184,-0.014773548,-0.000572503,-0.025045520,0.000818159,-0.010087173,watch,user3,sit
0.110002944,-0.005830616,-0.014899999,0.000527978,-0.019442540,0.005496623,-0.008891880,watch,user3,sit
0.120002816,-0.005277798,-0.014338225,-0.001953840,-0.021919278,0.001212662,-0.013202739,watch,user3,sit
0.130002944,-0.006962493,-0.012092769,-0.005777776,-0.028170384,0.000595873,-0.017417390,watch,user3,sit
0.140002816,-0.006170720,-0.009484798,-0.005089760,-0.030297983,-0.002096582,-0.017756412,watch,user3,sit
0.150002944,-0.005170405,-0.010008305,-0.007260978,-0.023618998,-0.004692988,-0.011303639,watch,user3,sit
0.160004096,-0.002747774,-0.010549307,-0.008861244,0.001725241,-0.002723846,0.003512592,watch,user3,sit
0.170003968,-0.008933455,-0.009778649,-0.011914790,0.024937708,-0.005034581,0.019901020,watch,user3,sit
0.180004096,-0.010526419,-0.008789510,-0.008670986,0.048380181,-0.005618879,0.029958714,watch,user3,sit
0.190003968,-0.008373275,-0.013065726,-0.008721948,0.054622188,-0.013600282,0.026724039,watch,user3,sit
0.200004864,-0.006584749,-0.014393121,-0.003232598,0.052629080,-0.017981183,0.033677284,watch,user3,sit
0.210004992,-0.005430520,-0.012085944,-0.000281870,0.050460026,-0.011657154,0.032690182,watch,user3,sit
0.220004864,-0.007947832,-0.013812125,0.002374589,0.044054054,-0.018846624,0.031221718,watch,user3,sit
0.230004992,-0.007895559,-0.015212297,0.003681958,0.041620281,-0.013761761,0.030807327,watch,user3,sit
0.240005888,-0.009393170,-0.012252808,0.001388133,0.031812128,-0.011346806,0.024037840,watch,user3,sit
0.250005760,-0.007241756,-0.010075569,0.001382351,0.025115207,-0.012731649,0.022936823,watch,user3,sit
0.260005888,-0.007175177,-0.006538779,0.001382113,0.017962756,-0.012255210,0.024850836,watch,user3,sit
0.270005760,-0.007398099,-0.004588336,0.000098705,0.012735148,-0.009951665,0.027181901,watch,user3,sit
0.280006912,-0.005964518,-0.007566363,-0.001793802,0.010105809,-0.006342814,0.031221382,watch,user3,sit
0.290007040,-0.009584591,-0.011891425,-0.001056194,-0.001131443,-0.009853572,0.027898625,watch,user3,sit
0.300006912,-0.007517636,-0.013548613,0.000586927,-0.010019477,-0.009222668,0.028718079,watch,user3,sit
0.310007040,-0.009031788,-0.008606941,0.000483274,-0.012692581,-0.012874749,0.027008597,watch,user3,sit
0.320007936,-0.010553464,-0.009583533,-0.002416968,-0.007988373,-0.015217266,0.024866616,watch,user3,sit
0.330007808,-0.010818481,-0.011003673,-0.006717741,-0.004899283,-0.014721829,0.025918031,watch,user3,sit
0.340007936,-0.012435719,-0.008506894,-0.005198002,-0.005254283,-0.013772413,0.025080733,watch,user3,sit
0.350007808,-0.013133526,-0.008019775,-0.004693747,0.003605521,-0.010322554,0.022023825,watch,user3,sit
0.360008960,-0.012586221,-0.010144800,-0.010070562,0.010561433,-0.006724358,0.016724400,watch,user3,sit
0.370008832,-0.013428330,-0.007043719,-0.010539830,0.022140058,-0.007692417,0.018216304,watch,user3,sit
0.380008960,-0.013794735,-0.008569449,-0.008486092,0.029421939,-0.001515214,0.021073077,watch,user3,sit
0.390009088,-0.014286697,-0.010338128,-0.007155061,0.035801720,0.000239721,0.021148311,watch,user3,sit
0.400009984,-0.015962288,-0.007131726,-0.004911602,0.046265014,-0.001280146,0.016318934,watch,user3,sit
0.410010112,-0.013182670,-0.010404795,-0.003648162,0.046342645,-0.001227415,0.015587963,watch,user3,sit
0.420009984,-0.008545518,-0.014695793,-0.001046121,0.034710489,-0.000961365,0.006888215,watch,user3,sit
0.430009856,-0.006881520,-0.016460031,0.001221001,0.022160830,-0.004633510,0.001429334,watch,user3,sit
0.440011008,-0.008798316,-0.017211020,0.001650095,0.008626912,-0.002823359,-0.001250072,watch,user3,sit
0.450010880,-0.008232296,-0.016105235,0.000445426,-0.000305775,-0.001443486,-0.002007475,watch,user3,sit
0.460011008,-0.008795589,-0.012687087,-0.000534534,-0.005852340,-0.001541224,-0.003897255,watch,user3,sit
0.470010880,-0.009621382,-0.005957425,-0.001066983,-0.010967962,-0.000823058,-0.007104300,watch,user3,sit
0.480012032,-0.010383606,-0.004255325,-0.003463984,-0.008749815,0.005091556,-0.007864632,watch,user3,sit
0.490012160,-0.013170242,-0.005697131,-0.005876422,-0.004018665,0.011979200,-0.007248444,watch,user3,sit
0.500012032,-0.015151709,-0.002460688,-0.007913888,-0.006669043,0.007954098,-0.016034212,watch,user3,sit
0.510012160,-0.011346281,-0.002880812,-0.007723391,0.005547010,0.008898457,-0.011816497,watch,user3,sit
0.520013056,-0.008573234,-0.007204086,-0.007937789,0.028046727,0.012069749,-0.004412909,watch,user3,sit
0.530012928,-0.008593529,-0.006796539,-0.005770326,0.032573611,0.011054463,-0.003740261,watch,user3,sit
0.540013056,-0.007926464,-0.008564264,-0.003468454,0.044688065,0.006641871,0.000334642,watch,user3,sit
0.550012928,-0.008552551,-0.005167186,-0.004020691,0.054667555,0.005140469,0.003788495,watch,user3,sit
0.560013824,-0.008328274,-0.003180891,-0.007339954,0.059146456,-0.003069257,0.005920089,watch,user3,sit
0.570013952,-0.004596770,-0.005589128,-0.004870057,0.076036088,0.011412747,0.015255067,watch,user3,sit
0.580013824,-0.010033548,-0.008629322,-0.001458645,0.051560577,0.010437763,0.002013298,watch,user3,sit
0.590013952,-0.015405983,-0.014298558,0.013727188,0.003746846,0.002257598,-0.004190335,watch,user3,sit
0.600015104,-0.013023004,-0.016957700,0.016159356,-0.031736579,0.001546001,-0.011649849,watch,user3,sit
0.610014976,-0.014994800,-0.009037435,0.010679960,-0.063775778,0.008379761,-0.015622953,watch,user3,sit
0.620015104,-0.017724499,-0.002466977,0.011178315,-0.066244267,0.017648894,-0.029026909,watch,user3,sit
0.630014976,-0.016947404,0.001055270,0.002766430,-0.075330578,0.034228403,-0.041367795,watch,user3,sit
0.640015872,-0.017891690,-0.021189868,0.001454234,-0.132385343,0.025075916,-0.059991281,watch,user3,sit
0.650016000,-0.020401642,-0.033727199,0.014294684,-0.176006541,0.015125992,-0.084097482,watch,user3,sit
0.660015872,-0.012168437,-0.021494895,0.002473950,-0.175021440,0.014305739,-0.088799030,watch,user3,sit
0.670017024,-0.010993689,-0.008737266,-0.008437812,-0.161998898,0.014630733,-0.076446421,watch,user3,sit
0.680018176,-0.010811046,-0.001450598,-0.008471489,-0.099449761,0.040083628,-0.054503571,watch,user3,sit
0.690018048,-0.015700489,-0.005092680,-0.009876192,-0.068452246,0.051853914,-0.044394881,watch,user3,sit
0.700018176,-0.014323741,-0.013032734,0.001446247,-0.099818163,0.040804192,-0.040806007,watch,user3,sit
0.710018048,-0.009251937,-0.011048168,0.012175500,-0.160705835,0.028845444,-0.049887650,watch,user3,sit
0.720019200,-0.004485905,-0.001360893,0.014871359,-0.240763128,-0.003992131,-0.060183428,watch,user3,sit
0.730019328,0.003037646,-0.003316820,0.017792165,-0.326684505,-0.047165524,-0.068270117,watch,user3,sit
0.740019200,0.006587848,-0.029371291,0.024756908,-0.383646607,-0.031277105,-0.014430856,watch,user3,sit
0.750019328,-0.010031000,-0.069643945,0.029386520,-0.439836740,-0.027380455,0.006720769,watch,user3,sit
0.760020224,-0.010427639,-0.075049043,0.028544605,-0.511556685,-0.017167766,0.038630232,watch,user3,sit
0.770020096,0.001284912,-0.064012349,0.033702731,-0.628744662,-0.001599104,0.086077973,watch,user3,sit
0.780020224,-0.002484575,-0.074822068,0.058591783,-0.729125857,-0.019030025,0.083075263,watch,user3,sit
0.790020096,-0.001700029,-0.075893223,0.055367231,-0.815261602,0.053036358,0.141175583,watch,user3,sit
0.800020992,-0.014150545,-0.087724745,0.057582319,-0.927209973,0.113556691,0.167439669,watch,user3,sit
0.810021120,-0.035438791,-0.126079708,0.086126208,-0.891063690,0.163209468,0.082419187,watch,user3,sit
0.820020992,-0.041689605,-0.142095596,0.096205175,-0.843178689,0.243224934,0.037565697,watch,user3,sit
0.830021120,-0.040228724,-0.129073679,0.104856133,-0.780017972,0.317455202,0.063459016,watch,user3,sit
0.840022272,-0.043537483,-0.134609908,0.109574735,-0.854452014,0.347534567,0.111939736,watch,user3,sit
0.850022144,-0.034070715,-0.137059987,0.093130946,-0.971718848,0.367330641,0.140466377,watch,user3,sit
0.860022272,-0.016191691,-0.117362887,0.080991566,-1.058784246,0.371574938,0.182980552,watch,user3,sit
0.870022144,-0.002021343,-0.084989578,0.068812728,-1.026343703,0.345598251,0.224221066,watch,user3,sit
0.880023040,0.006130427,-0.041596413,0.018674076,-0.931950569,0.328587860,0.238559529,watch,user3,sit
0.890023168,0.014549524,0.042437434,-0.026831329,-0.815464318,0.331632912,0.244105488,watch,user3,sit
0.900023040,0.022746325,0.115750849,-0.036581218,-0.637293279,0.324216276,0.268359989,watch,user3,sit
0.910023168,0.025135636,0.135951936,-0.030831814,-0.462079614,0.354768604,0.272530496,watch,user3,sit
0.920024064,0.011262059,0.114066243,-0.023468733,-0.325249344,0.377815604,0.258570462,watch,user3,sit
0.930023936,-0.008156002,0.075241178,-0.011630058,-0.320770293,0.404225618,0.223063514,watch,user3,sit
0.940024064,-0.023021489,0.043247283,-0.004006922,-0.376715571,0.430280387,0.182536066,watch,user3,sit
0.950023936,-0.028978646,0.011270106,-0.002571225,-0.518235087,0.452275008,0.154153824,watch,user3,sit
0.960025088,-0.032814682,-0.014933050,-0.003682375,-0.667238951,0.469910711,0.143007696,watch,user3,sit
0.970025216,-0.044156909,-0.039200127,-0.009681582,-0.745650530,0.495091170,0.132665262,watch,user3,sit
0.980025088,-0.059048980,-0.057462513,-0.009346902,-0.778611124,0.524561405,0.134288445,watch,user3,sit
0.990025216,-0.065861732,-0.067025095,0.006328285,-0.793646991,0.579350710,0.133024186,watch,user3,sit
1.000026112,-0.071512967,-0.081791759,0.027928889,-0.791271985,0.610525370,0.183706000,watch,user3,sit
1.010026240,-0.069317639,-0.098314136,0.047163665,-0.707459629,0.644207299,0.240702376,watch,user3,sit
1.020026112,-0.071102381,-0.101093143,0.059559286,-0.522701204,0.680186570,0.305281371,watch,user3,sit
1.030025984,-0.075997800,-0.093266636,0.057327509,-0.330405384,0.694394171,0.373558968,watch,user3,sit
1.040027136,-0.062156707,-0.053334922,0.037384808,-0.150083289,0.684314668,0.436925948,watch,user3,sit
1.050027008,-0.034211129,-0.000173002,0.037491500,-0.011789591,0.691599190,0.489199013,watch,user3,sit
1.060027136,-0.011927277,0.025044382,0.049162030,0.015965341,0.714043260,0.497860402,watch,user3,sit
1.070027008,-0.007892430,0.026470393,0.071318388,-0.074030064,0.718567669,0.451784134,watch,user3,sit
1.080028160,0.002546966,0.036359847,0.078749716,-0.259896070,0.708730519,0.428666562,watch,user3,sit
1.090028288,0.015294373,0.031803131,0.067457199,-0.425905287,0.703919232,0.461847693,watch,user3,sit
1.100028160,0.018153369,-0.017404914,0.028387189,-0.602312803,0.685544252,0.479742527,watch,user3,sit
1.110028288,0.007643938,-0.081765831,-0.009754181,-0.698341608,0.662570715,0.493811995,watch,user3,sit
1.120029184,-0.003446192,-0.111392081,-0.027742147,-0.727850497,0.653635561,0.515716195,watch,user3,sit
1.130029056,-0.002818435,-0.093053877,-0.025365353,-0.669139266,0.631618440,0.528135061,watch,user3,sit
1.140029184,0.001133859,-0.033783585,-0.021061182,-0.529427171,0.601438403,0.555414915,watch,user3,sit
1.150029056,0.014599025,0.019992888,-0.018189728,-0.384770632,0.581478536,0.596848607,watch,user3,sit
1.160029952,0.015869856,0.032647938,-0.034146845,-0.212629527,0.578260183,0.615664840,watch,user3,sit
1.170030080,0.011669427,0.014435947,-0.055892766,-0.048929680,0.563443422,0.645867348,watch,user3,sit
1.180029952,0.016931504,-0.006125093,-0.057344019,0.055402804,0.568669975,0.664382994,watch,user3,sit
1.190030336,0.016435951,-0.030960560,-0.060578108,0.122005574,0.571541846,0.666379809,watch,user3,sit
1.200031232,0.014866441,-0.050553530,-0.056012690,0.135503814,0.570838749,0.663055897,watch,user3,sit
1.210031104,0.015967488,-0.043881744,-0.040068209,0.148669019,0.577528656,0.634207785,watch,user3,sit
1.220031232,0.022119433,-0.020977050,-0.024006009,0.160281464,0.567508459,0.609189510,watch,user3,sit
1.230031104,0.027596265,0.012301564,-0.013064623,0.213577718,0.568865895,0.606226981,watch,user3,sit
1.240032000,0.029033750,0.041354686,-0.010849357,0.293590516,0.555660069,0.603055179,watch,user3,sit
1.250032128,0.030241847,0.053419143,-0.008989334,0.377528429,0.546928585,0.597665131,watch,user3,sit
1.260032000,0.034907877,0.049794316,-0.015979409,0.433594614,0.538073599,0.583505630,watch,user3,sit
1.270032128,0.037830591,0.036569834,-0.021362662,0.414365798,0.525343657,0.549275517,watch,user3,sit
1.280033024,0.038063407,0.019521385,-0.020634830,0.354185820,0.509286940,0.520393252,watch,user3,sit
1.290033152,0.031731665,0.015271246,-0.020795703,0.322539270,0.523043215,0.469498217,watch,user3,sit
1.300033280,0.012272716,0.030098379,-0.020279169,0.251026988,0.523677289,0.421522409,watch,user3,sit
1.310033152,0.002005577,0.062780589,-0.008833230,0.205778375,0.527291000,0.363594949,watch,user3,sit
1.320034048,-0.011648536,0.069604278,0.001067460,0.122223288,0.531900704,0.340949297,watch,user3,sit
1.330034176,-0.009805262,0.067916363,0.004296720,0.003457627,0.524455011,0.322525978,watch,user3,sit
1.340034048,-0.000831127,0.047511756,0.002317667,-0.081817590,0.506346047,0.286472648,watch,user3,sit
1.350034176,0.003555000,0.024264634,-0.019719899,-0.094818562,0.485398352,0.260598361,watch,user3,sit
1.360035072,0.014465809,0.028715372,-0.049557865,-0.067825034,0.451346636,0.252929002,watch,user3,sit
1.370034944,0.022807360,0.029709905,-0.063518405,-0.054690141,0.403191268,0.242162108,watch,user3,sit
1.380035072,0.017320514,0.004157603,-0.072572708,-0.022237394,0.370390445,0.209091783,watch,user3,sit
1.390034944,0.010047257,-0.009921968,-0.092209399,-0.004734478,0.319529474,0.195526302,watch,user3,sit
1.400036352,0.016516030,-0.001193047,-0.099385023,-0.000911510,0.262245923,0.167171359,watch,user3,sit
1.410036224,0.008425713,0.008224487,-0.113960207,-0.009745438,0.217587844,0.151026547,watch,user3,sit
1.420036096,0.003125668,0.009405822,-0.116770387,-0.050859854,0.175839335,0.131556168,watch,user3,sit
1.430037248,0.003077924,0.009670287,-0.113767385,-0.084629759,0.136486769,0.086789176,watch,user3,sit
1.440037120,0.001054525,0.023968399,-0.110962808,-0.090951569,0.100783899,0.055582784,watch,user3,sit
1.450037248,-0.000731111,0.059510678,-0.096823573,-0.078347892,0.071154639,0.037911512,watch,user3,sit
1.460037120,-0.005009532,0.078276932,-0.081208467,-0.058566730,0.035245642,0.000815276,watch,user3,sit
1.470038016,-0.014014781,0.072560847,-0.074712753,-0.060889449,0.002178590,0.002111835,watch,user3,sit
1.480038144,-0.014132977,0.049470693,-0.069357276,-0.068642177,-0.023272973,0.004393632,watch,user3,sit
1.490038016,-0.010839045,0.018011481,-0.075303555,-0.052094050,-0.043938924,-0.015254038,watch,user3,sit
1.500038144,-0.014635086,0.001659334,-0.079342961,-0.035777126,-0.055158556,-0.028444143,watch,user3,sit
1.510039296,-0.018770933,-0.005861700,-0.071827173,-0.016216431,-0.077291645,-0.027409572,watch,user3,sit
1.520039168,-0.011338770,-0.018916309,-0.068146288,0.016061613,-0.081705034,-0.009117916,watch,user3,sit
1.530039296,-0.003816843,-0.031838238,-0.057229400,0.032689504,-0.083873734,0.016790114,watch,user3,sit
1.540039168,-0.007918835,-0.038364202,-0.040131569,0.021464013,-0.085893214,0.024637118,watch,user3,sit
1.550040064,-0.019569457,-0.044304043,-0.029494226,0.016645778,-0.079224035,0.040398568,watch,user3,sit
1.560040192,-0.018925488,-0.039390624,-0.020625472,0.038447481,-0.082455516,0.066956945,watch,user3,sit
1.570040064,-0.011036754,-0.025026739,-0.007489204,0.049609676,-0.080300130,0.074626714,watch,user3,sit
1.580040192,-0.012583852,-0.014802873,0.003259540,0.062517747,-0.078004748,0.079662487,watch,user3,sit
1.590041088,-0.014390349,-0.011907130,0.011243403,0.071521498,-0.066382185,0.077667713,watch,user3,sit
1.600040960,-0.016176879,-0.011266768,0.015200615,0.074344985,-0.044389799,0.071574926,watch,user3,sit
1.610041088,-0.015543699,-0.005928189,0.030453086,0.052201111,-0.024568779,0.063231714,watch,user3,sit
1.620040960,-0.015632510,-0.006314337,0.043838978,0.028775945,-0.009445220,0.049469829,watch,user3,sit
1.630042112,-0.019140005,-0.003033996,0.050791860,0.001456262,0.010398082,0.040319875,watch,user3,sit
1.640042240,-0.020371675,0.003480345,0.049438119,-0.041394532,0.029719315,0.044399839,watch,user3,sit
1.650042112,-0.015831947,0.002146065,0.049627662,-0.096947670,0.039554104,0.046955071,watch,user3,sit
1.660043264,-0.019456089,-0.011078328,0.043152452,-0.159994543,0.056670241,0.041717432,watch,user3,sit
1.670043136,-0.021919429,-0.017821133,0.028115034,-0.212546483,0.065791383,0.045734480,watch,user3,sit
1.680042240,-0.013503969,-0.014774799,0.017167926,-0.223906994,0.075065583,0.043234035,watch,user3,sit
1.690042112,-0.013770401,-0.017689258,0.004295826,-0.217400223,0.078459248,0.033192523,watch,user3,sit
1.700043008,-0.014947057,-0.009352803,-0.011787117,-0.187463358,0.079980977,0.021853050,watch,user3,sit
1.710043136,-0.008885562,0.006332308,-0.021569610,-0.120670222,0.068456680,0.036778737,watch,user3,sit
1.720043008,0.000065327,0.014217645,-0.029127240,-0.044018589,0.067062512,0.030285418,watch,user3,sit
1.730043136,-0.003909528,0.010701865,-0.033794522,-0.009562034,0.062695377,0.021945661,watch,user3,sit
1.740044032,-0.005697072,0.010736167,-0.031894982,0.016952930,0.056310978,0.011191551,watch,user3,sit
1.750043904,-0.002599597,0.007625550,-0.031849027,0.032386124,0.054619513,-0.000678957,watch,user3,sit
1.760044288,-0.003748894,0.003024459,-0.034126163,0.046884373,0.053278878,-0.012139072,watch,user3,sit
1.770044160,-0.004552901,0.001046389,-0.032817125,0.066309959,0.046149690,0.002896669,watch,user3,sit
1.780045056,-0.001834154,-0.009716004,-0.031558335,0.043935411,0.043545384,0.011156197,watch,user3,sit
1.790045184,-0.006817698,-0.030989110,-0.028179944,0.022875844,0.035133433,0.021157034,watch,user3,sit
1.800045056,-0.008209586,-0.045808256,-0.027591467,0.006774639,0.023872523,0.033484008,watch,user3,sit
1.810045184,-0.007832646,-0.045278937,-0.027897954,0.004408731,0.005816734,0.045330077,watch,user3,sit
1.820046080,-0.001480401,-0.031626195,-0.029915214,0.006127269,-0.014368962,0.045565236,watch,user3,sit
1.830045952,0.001063645,-0.014971197,-0.037434697,0.036911368,-0.034387857,0.045982420,watch,user3,sit
1.840046080,-0.001149535,-0.000804186,-0.041222095,0.049402662,-0.050181732,0.045641538,watch,user3,sit
1.850045952,-0.005854785,0.010308236,-0.041085541,0.070254818,-0.055435084,0.033211034,watch,user3,sit
1.860047360,-0.011385739,0.013979495,-0.035715103,0.089784831,-0.062098838,0.027817067,watch,user3,sit
1.870047232,-0.008871913,0.018053114,-0.028153121,0.092185766,-0.071839795,0.025438730,watch,user3,sit
1.880047104,-0.013058424,0.013661563,-0.019277394,0.101374470,-0.072640345,0.021306036,watch,user3,sit
1.890048256,-0.019042432,0.002282798,-0.018197775,0.095037080,-0.066106543,0.021705709,watch,user3,sit
1.900048128,-0.018234968,-0.006696492,-0.011286676,0.063083939,-0.058169790,0.019562131,watch,user3,sit
1.910048256,-0.018726587,-0.012055606,-0.003658831,0.046253782,-0.055552617,0.008661747,watch,user3,sit
1.920048128,-0.018513083,-0.012844533,-0.001549602,0.031866588,-0.048094168,0.009773350,watch,user3,sit
1.930049024,-0.017382383,-0.005773187,-0.005967677,0.028500795,-0.037901007,0.020158747,watch,user3,sit
1.940049152,-0.014324605,-0.006958634,-0.009422541,0.035889205,-0.032369357,0.021808840,watch,user3,sit
1.950049024,-0.013981998,-0.014470220,-0.010012090,0.039059788,-0.030330352,0.014641075,watch,user3,sit
1.960049152,-0.014210105,-0.010741800,-0.010784507,0.030708643,-0.022188801,0.010419966,watch,user3,sit
1.970050304,-0.014085352,-0.000006795,-0.009143114,0.033151962,-0.017870486,0.019930447,watch,user3,sit
1.980050176,-0.007813394,-0.000147671,-0.007092595,0.037021268,-0.012435773,0.010483416,watch,user3,sit
1.990050304,-0.010329187,-0.009914041,-0.003893912,0.035994619,-0.000154338,0.014440607,watch,user3,sit
2.000050176,-0.009073853,-0.010097921,-0.001738846,0.021319803,0.005630580,0.013096243,watch,user3,sit
2.010051072,-0.008002043,-0.012173772,-0.000498950,0.013379988,0.003144519,0.017415691,watch,user3,sit
2.020051200,-0.003379822,-0.014999986,-0.006354451,0.008722919,0.006381857,0.027169252,watch,user3,sit
2.030051072,0.001243591,-0.012719750,-0.011812389,0.005250423,0.005666533,0.027590031,watch,user3,sit
2.040051968,-0.005009234,-0.017395765,-0.012012005,0.003021357,0.008994152,0.031900890,watch,user3,sit
2.050052096,-0.005223393,-0.014036089,-0.012216270,-0.007296750,0.005876034,0.031559940,watch,user3,sit
2.060051968,-0.002223730,-0.010880053,-0.012403965,-0.016423402,0.006031297,0.025277009,watch,user3,sit
2.070052096,-0.002737641,-0.005466849,-0.013659179,-0.022427544,-0.001251029,0.029102707,watch,user3,sit
2.080053248,-0.005501330,-0.005145013,-0.014829874,-0.015516374,-0.006650322,0.024612350,watch,user3,sit
2.090053120,-0.009197295,-0.010793567,-0.018510759,-0.017135443,-0.007957135,0.025175409,watch,user3,sit
2.100053248,-0.009466648,-0.013385534,-0.018374562,-0.012001134,-0.009030121,0.025942933,watch,user3,sit
2.110053120,-0.010126412,-0.017752469,-0.016445577,-0.002144998,-0.005701260,0.021189258,watch,user3,sit
2.120054272,-0.014620483,-0.016227007,-0.013413846,0.006329979,-0.002086018,0.017099706,watch,user3,sit
2.130054144,-0.015633464,-0.011629194,-0.007409215,0.009879485,-0.006007879,0.014511580,watch,user3,sit
2.140054016,-0.011979759,-0.008468181,-0.010703325,0.014691018,-0.004347664,0.012629790,watch,user3,sit
2.150054144,-0.009819567,-0.003957987,-0.013978243,0.027681563,-0.013516484,0.018491141,watch,user3,sit
2.160055040,-0.007158041,0.001039952,-0.017645895,0.033294972,-0.012797164,0.013875351,watch,user3,sit
2.170055168,-0.008024216,0.001612663,-0.022913098,0.036672261,-0.015757535,0.010356716,watch,user3,sit
2.180055040,-0.010595024,-0.003294945,-0.023973405,0.026373817,-0.017418548,0.005019208,watch,user3,sit
2.190056192,-0.014815092,-0.005439132,-0.020172417,0.011166192,-0.018116206,0.010909055,watch,user3,sit
2.200056320,-0.015453100,-0.007237971,-0.016272545,0.002940752,-0.021979919,0.012869408,watch,user3,sit
2.210056192,-0.013239861,-0.010099441,-0.012906671,0.004854588,-0.017266037,0.012224390,watch,user3,sit
2.220056320,-0.010911405,-0.008206636,-0.010154605,0.001273436,-0.018796556,0.017422615,watch,user3,sit
2.230057216,-0.007671237,-0.010414094,-0.008807182,0.001232245,-0.016445961,0.022793014,watch,user3,sit
