Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.088923872,-0.094774395,0.101589978,0.017105307,0.491714209,-0.815508425,watch,user3,run
0.009997824,-0.079813093,-0.096696019,0.103041112,-0.032158826,0.493288457,-0.751066089,watch,user3,run
0.019996672,-0.073426157,-0.098008662,0.102032185,-0.068342663,0.512665927,-0.687926233,watch,user3,run
0.029994752,-0.074205577,-0.104843915,0.103579760,-0.093941413,0.532952666,-0.626196563,watch,user3,run
0.039993856,-0.077237874,-0.119661689,0.114295483,-0.120737873,0.566279173,-0.562132597,watch,user3,run
0.049992704,-0.084299028,-0.137602657,0.128771305,-0.149719626,0.602470279,-0.487704307,watch,user3,run
0.059990784,-0.091730773,-0.157004982,0.142157197,-0.176491052,0.647341609,-0.402054131,watch,user3,run
0.069989888,-0.099721998,-0.176588476,0.144790173,-0.175413623,0.690659463,-0.295915186,watch,user3,run
0.079987968,-0.097051531,-0.186819375,0.132482409,-0.145675167,0.716582656,-0.175214306,watch,user3,run
0.089986816,-0.074810028,-0.169399619,0.089640856,-0.086394407,0.724447489,-0.056903049,watch,user3,run
0.099984896,-0.041626304,-0.110626400,0.036306977,-0.036227375,0.746294200,0.025143350,watch,user3,run
0.109983744,-0.008588940,-0.041081846,0.009346008,0.010217708,0.780034959,0.080748685,watch,user3,run
0.119981824,0.018746823,-0.009095013,0.000416696,0.040558036,0.812758803,0.153273478,watch,user3,run
0.129980672,0.031980902,-0.022519886,0.003248155,0.025981491,0.845222473,0.249808416,watch,user3,run
0.139979776,0.033333182,-0.056029856,0.013819575,-0.056659326,0.863925576,0.349392533,watch,user3,run
0.149977856,0.034334600,-0.079539478,0.029203176,-0.211878255,0.876598299,0.436644256,watch,user3,run
0.159976960,0.036310226,-0.092446268,0.054499686,-0.418351263,0.915246606,0.537763178,watch,user3,run
0.169974784,0.038157761,-0.094093263,0.079002440,-0.640898943,0.986748397,0.687758088,watch,user3,run
0.179973632,0.044514775,-0.084320635,0.083005726,-0.871004581,1.088969827,0.911003172,watch,user3,run
0.189971712,0.069900542,-0.061400414,0.079452276,-1.119135380,1.216742992,1.158742189,watch,user3,run
0.199970816,0.094734251,-0.051828802,0.099510670,-1.394744396,1.354496598,1.392110944,watch,user3,run
