epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.1576189454152659,0.8712702472293266,0.8696749421760286,1.1633598496541953,0.8465473145780051,0.8420928349849319
2,0.7132687370998678,0.907928388746803,0.907413952924476,0.7181576790712069,0.887468030690537,0.8858257387712577
3,0.38291412241318645,0.9241261722080136,0.9234137963090656,0.3973319256854484,0.9232736572890026,0.9230642421638748
4,0.20717885820965226,0.9599317988064792,0.9596967478050802,0.23568467544320296,0.9437340153452686,0.9436673565058692
5,0.1473278669991355,0.9616368286445013,0.9613440186039366,0.17181099425343907,0.9565217391304348,0.9562702164228174
6,0.1193533827886557,0.96845694799659,0.9683148435407889,0.1516590516471192,0.9539641943734015,0.9536380911908336
7,0.08820484774242784,0.9752770673486786,0.975166406437905,0.11365666636801741,0.9616368286445013,0.9614973055668145
8,0.07706715073833482,0.9752770673486786,0.9751548221624189,0.10561609451118333,0.9641943734015346,0.9639966033590952
9,0.07695374981470832,0.9744245524296675,0.974250722058447,0.11660755944469244,0.9539641943734015,0.95367429406037
10,0.0606035824741244,0.979539641943734,0.9793858585203707,0.08646184095965169,0.9718670076726342,0.9716792992114373
11,0.04690969934828344,0.9889173060528559,0.9888311759695754,0.06728319502185526,0.9769820971867008,0.9768367276166623
12,0.0405070838841585,0.9923273657289002,0.9923004502101392,0.06418142666863969,0.9820971867007673,0.9820498027060955
13,0.03445464823607797,0.9923273657289002,0.9922682087800269,0.05712340614708412,0.9872122762148338,0.9871292189763528
14,0.029143813290877008,0.9931798806479113,0.993128216638036,0.05277030625382958,0.9846547314578005,0.9845812415432669
15,0.029760107091562116,0.9931798806479113,0.9931292199387883,0.0497103735775975,0.9872122762148338,0.9871292189763528
16,0.04172941425597678,0.9880647911338448,0.9879807761427598,0.06742852836218484,0.9667519181585678,0.9665802995906825
17,0.025715289051499206,0.9948849104859335,0.9948640591237256,0.052743327413278314,0.9820971867007673,0.9820331547420466
18,0.02766421912611166,0.9940323955669225,0.993985841469345,0.0459376251732316,0.9820971867007673,0.9821326683316087
19,0.021169461722772343,0.9948849104859335,0.9948640591237256,0.047461448530273516,0.9846547314578005,0.9845812415432669
20,0.026360200760919418,0.9931798806479113,0.9931305571533976,0.06362391926129074,0.9872122762148338,0.9871623163824061
21,0.020353888950286034,0.9948849104859335,0.9948485665585476,0.041805462533003074,0.9846547314578005,0.9845709185329439
22,0.01689355983180514,0.9957374254049446,0.9957097213296592,0.04392676279448983,0.9846547314578005,0.9846295883506995
23,0.013390975926890779,0.9965899403239556,0.9965857710910818,0.04017808138514343,0.989769820971867,0.989742746704772
24,0.011602259529651304,0.9965899403239556,0.9965572131936475,0.030203335209871115,0.989769820971867,0.9897410273492886
25,0.012991037222541685,0.9965899403239556,0.9965572131936475,0.033669517149248394,0.9872122762148338,0.9871610271878708
26,0.011918935775502766,0.9965899403239556,0.9965572131936475,0.03758772683765768,0.9872122762148338,0.9871623163824061
27,0.009801262401708125,0.9965899403239556,0.9965572131936475,0.03211086476162133,0.9923273657289002,0.992323176973475
28,0.012234006107221886,0.9974424552429667,0.9974176350535217,0.02900875901834339,0.9923273657289002,0.9922855626326964
29,0.010456487623766662,0.9974424552429667,0.9974176350535217,0.02704967646841722,0.989769820971867,0.9897375851996106
30,0.007932170013558098,0.9974424552429667,0.9974176350535217,0.02786733539652346,0.9923273657289002,0.9923218869197988
